sales_month,product_category_name,total_revenue,monthly_rank
2017-05,alimentos,387.9,47
2017-05,fashion_roupa_feminina,367.5,48
2017-05,alimentos_bebidas,345.49,49
2017-05,fashion_underwear_e_moda_praia,283.5,50
2017-05,livros_tecnicos,262.0,51
2017-05,la_cuisine,193.0,52
2017-05,pc_gamer,129.99,53
2017-05,fashion_esporte,124.84,54
2017-05,fashion_roupa_infanto_juvenil,110.0,55
2017-05,construcao_ferramentas_construcao,99.99,56
2017-05,bebidas,90.0,57
2017-05,dvds_blu_ray,89.6,58
2017-05,cine_foto,59.0,59
2017-05,artes_e_artesanato,21.99,60
2017-06,cool_stuff,38109.61,1
2017-06,informatica_acessorios,36193.7,2
2017-06,cama_mesa_banho,33803.23,3
2017-06,esporte_lazer,32066.93,4
2017-06,beleza_saude,31676.81,5
2017-06,automotivo,29335.71,6
2017-06,relogios_presentes,27337.63,7
2017-06,perfumaria,23954.32,8
2017-06,utilidades_domesticas,22978.21,9
2017-06,moveis_decoracao,16614.29,10
2017-06,ferramentas_jardim,15447.09,11
2017-06,brinquedos,15337.55,12
2017-06,eletroportateis,9698.81,13
2017-06,malas_acessorios,8142.19,14
2017-06,bebes,7864.74,15
2017-06,moveis_escritorio,7279.13,16
2017-06,fashion_bolsas_e_acessorios,6722.13,17
2017-06,telefonia,6561.73,18
2017-06,consoles_games,5309.03,19
2017-06,pet_shop,5123.57,20
2017-06,instrumentos_musicais,4993.05,21
2017-06,,4902.4,22
2017-06,papelaria,3493.57,23
2017-06,casa_conforto,2818.2,24
2017-06,eletrodomesticos,2507.19,25
2017-06,climatizacao,2084.48,26
2017-06,eletronicos,2060.04,27
2017-06,casa_construcao,1992.3,28
2017-06,livros_interesse_geral,1922.18,29
2017-06,moveis_sala,1713.3,30
2017-06,audio,1671.0,31
2017-06,agro_industria_e_comercio,1390.0,32
2017-06,fashion_calcados,1279.38,33
2017-06,market_place,1258.95,34
2017-06,eletrodomesticos_2,1213.87,35
2017-06,musica,1066.9,36
2017-06,telefonia_fixa,933.67,37
2017-06,tablets_impressao_imagem,594.0,38
2017-06,fashion_roupa_masculina,519.79,39
2017-06,fashion_esporte,470.5,40
2017-06,construcao_ferramentas_jardim,434.69,41
2017-06,construcao_ferramentas_construcao,376.37,42
2017-06,moveis_cozinha_area_de_servico_jantar_e_jardim,374.8,43
2017-06,moveis_quarto,308.99,44
2017-06,industria_comercio_e_negocios,276.97,45
2017-06,artes,200.3,46
2017-06,artigos_de_natal,184.7,47
2017-06,fashion_roupa_feminina,154.8,48
2017-06,alimentos,149.9,49
2017-06,livros_tecnicos,145.9,50
2017-06,sinalizacao_e_seguranca,134.0,51
2017-06,pc_gamer,129.99,52
2017-06,dvds_blu_ray,126.69,53
2017-06,fashion_roupa_infanto_juvenil,110.0,54
2017-06,livros_importados,99.0,55
2017-06,cine_foto,79.0,56
2017-06,portateis_casa_forno_e_cafe,71.9,57
2017-06,alimentos_bebidas,57.4,58
2017-06,bebidas,49.99,59
2017-06,casa_conforto_2,12.9,60
2017-06,fashion_underwear_e_moda_praia,3.9,61
2017-07,cama_mesa_banho,62786.96,1
2017-07,informatica_acessorios,38176.22,2
2017-07,cool_stuff,36653.46,3
2017-07,esporte_lazer,36618.83,4
2017-07,beleza_saude,34239.45,5
2017-07,relogios_presentes,33702.42,6
